year,month,usd
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,6,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,1110
2011,7,1110
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,7,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,2160
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,2160
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,8,3890
2011,9,3890
2011,9,2160
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3610
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,9,3890
2011,10,2160
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,1110
2011,10,1110
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,10,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,1110
2011,11,2160
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,11,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2011,12,3890
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,7780
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,2160
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,-2510
2012,1,3890
2012,1,3890
2012,1,3890
2012,1,2500
2012,1,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,1110
2012,2,2160
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,3890
2012,2,1110
2012,2,3890
2012,2,3890
2012,2,3890
2012,3,3890
2012,3,3890
2012,3,-3900
2012,3,3890
2012,3,3890
2012,3,3890
2012,3,3890
2012,3,3890
2012,3,3890
2012,3,2160
2012,3,3890
2012,3,3890
2012,4,3890
2012,4,3890
2012,4,3890
2012,4,3890
2012,4,3890
2012,4,3890
2012,4,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,5,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,23360
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,6,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,2780
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,-3900
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,7,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,1110
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,8,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
2012,9,3890
